다아, 67, 192
차사, 55, 142
하자, 73, 192
카카, 44, 181
나카, 66, 195
다자, 42, 140
다마, 79, 169
아차, 95, 189
가하, 42, 183
아라, 46, 158
라바, 43, 149
바다, 73, 164
나마, 57, 160
사라, 74, 142
타아, 74, 166
자자, 48, 167
다바, 77, 193
가가, 71, 147
마차, 99, 198
바아, 75, 147
마다, 84, 178
나파, 47, 150
라타, 73, 153
가자, 78, 197
타파, 81, 164
파마, 64, 175
차마, 64, 173
바하, 51, 184
마타, 45, 177
차마, 78, 195
하마, 65, 175
하하, 55, 182
가하, 52, 195
바라, 75, 199
파사, 93, 166
아자, 64, 175
나타, 57, 198
가바, 79, 150
카아, 90, 148
하자, 55, 168
사카, 99, 191
카차, 67, 148
카다, 50, 197
마파, 98, 152
하나, 90, 151
하사, 44, 158
다마, 53, 177
카차, 97, 142
아가, 48, 153
사타, 72, 153
라하, 96, 192
카자, 84, 196
자가, 40, 199
라파, 40, 149
다차, 83, 145
카다, 46, 141
자라, 51, 152
사자, 57, 163
사자, 44, 154
아파, 73, 143
바아, 99, 187
차차, 80, 149
라차, 57, 194
나마, 86, 146
가가, 79, 195
가카, 94, 148
하사, 61, 153
하다, 78, 141
바차, 93, 188
타바, 69, 180
하타, 55, 158
나마, 57, 197
가차, 42, 154
나가, 58, 194
바마, 72, 176
카바, 79, 140
바가, 73, 170
사바, 62, 155
하카, 93, 191
자마, 79, 162
마라, 92, 177
파자, 50, 174
가라, 82, 153
타카, 96, 198
자마, 85, 189
타사, 99, 189
하다, 51, 159
나가, 41, 180
파자, 72, 142
다자, 63, 164
바바, 97, 196
마카, 65, 177
자바, 92, 198
하다, 91, 191
마나, 82, 191
가아, 57, 177
가파, 63, 170
하라, 60, 183
바하, 88, 187
자바, 51, 198
마나, 46, 155
타사, 91, 168
아차, 45, 199
다다, 64, 160
마하, 80, 163
라바, 73, 164
사나, 60, 170
사하, 96, 170
바바, 49, 140
가자, 74, 191
사다, 96, 143
타차, 50, 186
바하, 57, 168
마가, 46, 160
차차, 91, 171
다나, 82, 163
바자, 69, 195
나차, 67, 196
하라, 98, 194
마하, 90, 146
가차, 47, 164
카가, 99, 151
사아, 78, 142
파라, 81, 165
하다, 50, 195
바하, 89, 175
사라, 56, 187
라다, 43, 195
다아, 75, 146
사마, 47, 176
파카, 76, 148
사하, 69, 166
다파, 65, 140
다다, 99, 169
사카, 81, 184
자라, 87, 148
자타, 52, 167
아아, 60, 194
가바, 46, 147
다카, 48, 179
라아, 62, 157
바라, 81, 160
하자, 55, 180
라가, 61, 195
타차, 49, 144
사사, 51, 174
자아, 87, 158
사바, 48, 166
사카, 66, 149
아파, 88, 146
다바, 96, 198
바나, 74, 197
다차, 66, 195
파라, 99, 171
마파, 47, 174
카마, 85, 161
자사, 84, 197
라가, 65, 155
마가, 98, 188
마타, 42, 162
카자, 70, 164
자라, 76, 187
사파, 80, 140
사마, 72, 158
마파, 44, 153
차사, 79, 183
아마, 61, 165
다카, 53, 196
다자, 65, 145
다카, 60, 145
바타, 47, 179
하가, 71, 163
아하, 92, 196
라파, 45, 166
마자, 86, 147
아차, 50, 158
파마, 97, 188
사타, 62, 160
카하, 73, 154
다사, 90, 180
차바, 98, 168
사마, 79, 142
가사, 90, 152
카카, 64, 154
자마, 82, 168
나가, 94, 176
차아, 47, 198
라나, 86, 191
아나, 43, 168
라타, 62, 159
다라, 44, 182
가아, 63, 155
카라, 53, 148
다바, 66, 158
나파, 53, 184
사카, 94, 148
타자, 78, 144
다아, 58, 142
바차, 52, 181
라바, 67, 156
나카, 95, 195
사가, 80, 175
나파, 46, 157
가라, 72, 177
하바, 41, 177
하하, 51, 153
라마, 54, 153
카자, 85, 142
하마, 54, 142
가나, 92, 171
타라, 75, 152
다라, 45, 167
아타, 83, 162
하라, 42, 146
나자, 77, 197
차카, 74, 148
카차, 58, 191
파가, 96, 168
바아, 43, 180
가나, 52, 161
파나, 40, 144
카자, 77, 196
나나, 66, 145
아마, 63, 182
아바, 90, 193
나마, 89, 176
아가, 87, 143
다라, 42, 151
마차, 73, 179
아바, 65, 186
라타, 94, 170
나하, 59, 166
파자, 52, 147
파아, 89, 176
바파, 99, 192
타다, 82, 168
라자, 80, 182
자다, 66, 170
카나, 95, 176
아타, 57, 152
다바, 57, 155
사다, 54, 164
바자, 89, 183
가차, 92, 145
카차, 74, 193
자카, 91, 174
자하, 50, 197
타카, 82, 163
다하, 73, 141
나다, 88, 157
다라, 48, 173
차라, 84, 169
사사, 81, 196
바라, 46, 187
하아, 87, 186
라바, 45, 158
아아, 92, 172
아다, 67, 156
나나, 55, 192
바사, 75, 187
가사, 62, 155
사하, 73, 148
자타, 70, 181
아타, 74, 166
차마, 79, 180
다마, 68, 166
타파, 78, 198
카바, 95, 159
바사, 76, 153
나마, 46, 169
아바, 95, 171
라가, 64, 191
차바, 68, 159
나아, 86, 184
바카, 74, 170
파차, 63, 177
차가, 77, 149
다마, 96, 190
차사, 57, 163
가하, 88, 164
마마, 95, 153
하아, 97, 198
차나, 49, 153
마파, 97, 188
마파, 92, 167
자다, 86, 194
나다, 68, 196
차사, 85, 148
차나, 44, 196
아바, 87, 176
바자, 78, 153
가사, 76, 193
하카, 75, 188
다나, 76, 154
차다, 47, 155
가바, 85, 185
사차, 62, 163
타아, 84, 157
아카, 41, 185
나하, 41, 180
하아, 86, 154
카자, 48, 152
차나, 75, 194
파타, 58, 192
다사, 42, 174
가파, 52, 158
다자, 78, 168
사카, 83, 171
자파, 48, 193
라자, 89, 162
바차, 50, 193
차사, 49, 185
바마, 74, 155
바카, 90, 164
파파, 73, 143
가바, 83, 145
라파, 83, 181
타다, 82, 148
하파, 51, 197
사아, 77, 153
타자, 60, 152
마차, 60, 142
마나, 62, 159
마파, 86, 178
차하, 44, 159
차파, 80, 177
나자, 72, 177
타타, 50, 176
파바, 43, 194
라다, 43, 153
나가, 97, 195
사다, 41, 173
카라, 93, 186
파자, 70, 162
가마, 93, 185
가가, 85, 195
차가, 47, 176
라가, 49, 156
타나, 67, 152
나나, 47, 174
타바, 65, 140
다차, 93, 177
차차, 43, 161
파하, 62, 147
나카, 40, 169
마파, 48, 175
차파, 85, 175
카다, 58, 180
나바, 79, 167
파마, 62, 144
나자, 53, 149
나가, 46, 144
하라, 78, 181
마라, 77, 190
라자, 52, 192
나라, 86, 193
라카, 89, 173
마자, 58, 171
바차, 91, 189
마하, 50, 199
파바, 91, 158
나타, 88, 160
파다, 92, 144
하자, 50, 146
하차, 99, 167
자바, 82, 183
하아, 46, 199
사사, 75, 165
라나, 66, 191
차아, 43, 154
하아, 60, 184
타사, 91, 190
아하, 55, 140
마파, 70, 183
파다, 87, 169
파자, 66, 140
바아, 78, 143
차가, 94, 185
가차, 86, 179
아타, 80, 193
가마, 45, 150
차사, 69, 181
나카, 48, 185
마아, 55, 147
가라, 58, 183
아마, 87, 194
파자, 92, 184
아사, 41, 179
나타, 59, 192
파사, 58, 194
카마, 65, 157
하차, 65, 146
자나, 69, 188
타카, 57, 181
타가, 87, 192
아하, 84, 160
라다, 86, 169
카다, 48, 156
나파, 66, 153
카다, 68, 140
라바, 70, 189
하카, 60, 163
카라, 63, 166
사카, 82, 148
하바, 59, 151
파다, 91, 192
다라, 52, 171
파다, 71, 141
차파, 55, 171
카자, 93, 175
가나, 54, 199
카아, 81, 179
아라, 73, 180
차다, 96, 156
카마, 72, 191
파사, 44, 169
자아, 90, 141
라파, 99, 198
타아, 61, 149
나아, 63, 150
다라, 72, 155
카사, 80, 154
차차, 78, 146
자타, 61, 196
라가, 48, 194
타가, 63, 149
사차, 58, 173
자하, 93, 168
라바, 56, 170
나가, 45, 157
바마, 40, 170
아가, 47, 194
파가, 62, 161
타마, 87, 155
파자, 40, 159
하차, 87, 163
차가, 92, 156
하카, 49, 179
라차, 45, 167
나나, 96, 188
다자, 43, 149
카사, 87, 150
바가, 93, 198
카차, 58, 176
파나, 54, 153
라파, 66, 169
카마, 52, 159
바라, 95, 152
사자, 89, 182
파마, 48, 141
나라, 89, 197
카하, 86, 142
자하, 75, 190
카차, 92, 148
가차, 45, 177
사가, 64, 190
바타, 74, 151
라바, 46, 161
나라, 81, 150
카아, 91, 194
가파, 69, 176
차파, 76, 148
나마, 98, 192
마가, 96, 197
가다, 90, 161
라나, 57, 192
나사, 90, 158
마가, 70, 182
가가, 94, 190
다다, 81, 162
차가, 57, 188
사카, 83, 160
카바, 85, 168
카아, 53, 186
가아, 66, 164
하마, 42, 141
사차, 53, 142
차파, 90, 184
라아, 99, 167
바자, 74, 191
카마, 68, 197
파하, 53, 168
자차, 87, 195
가타, 82, 161
파가, 80, 196
하다, 69, 162
타라, 84, 144
마카, 89, 195
마카, 92, 142
마바, 54, 144
자라, 66, 195
가나, 86, 196
타바, 41, 175
가파, 40, 175
하가, 83, 177
파가, 81, 174
차타, 64, 176
다차, 83, 189
바마, 96, 194
바다, 84, 163
타타, 66, 164
파자, 71, 153
타사, 55, 167
사자, 42, 171
마차, 45, 196
카나, 99, 149
타자, 95, 158
카마, 73, 176
마나, 75, 140
아차, 53, 191
가아, 92, 168
타파, 70, 195
마나, 94, 160
카다, 44, 150
나카, 68, 179
사차, 96, 148
차하, 98, 151
사마, 98, 169
사바, 48, 179
사파, 53, 184
자나, 55, 146
바나, 65, 172
마나, 44, 162
마파, 71, 166
하라, 76, 183
사가, 93, 143
자나, 80, 167
카사, 72, 166
